The Average Value for each channel.
Input File Count:20,,AverageRatio=80%,,Raw 16 Thresold=0
Channel,RX=34,TX=22,

Stdev :341


Raw16 Average.
,Chip-0[01],Chip-0[02],Chip-0[03],Chip-0[04],Chip-0[05],Chip-0[06],Chip-0[07],Chip-0[08],Chip-0[09],Chip-0[10],Chip-0[11],Chip-0[12],Chip-0[13],Chip-0[14],Chip-0[15],Chip-0[16],Chip-0[17],Chip-0[18],Chip-0[19],Chip-0[20],Chip-0[21],Chip-0[22]
Rx[0],1685,1650,1630,1620,1596,1579,1624,1613,1600,1587,1585,1577,1576,1574,1557,1556,1555,1551,1544,1534,1472,1430,Chip-0[01]
Rx[1],1655,1628,1608,1592,1576,1567,1620,1615,1605,1597,1591,1586,1584,1581,1575,1574,1572,1562,1561,1542,1476,1425,Chip-0[02]
Rx[2],1637,1606,1585,1576,1564,1554,1604,1596,1594,1585,1571,1558,1557,1553,1553,1551,1544,1536,1531,1524,1460,1406,Chip-0[03]
Rx[3],1617,1589,1562,1546,1530,1520,1572,1565,1557,1546,1547,1541,1539,1529,1518,1519,1519,1516,1519,1513,1456,1408,Chip-0[04]
Rx[4],1586,1555,1539,1531,1510,1503,1552,1550,1547,1544,1536,1533,1528,1528,1524,1525,1531,1528,1522,1519,1459,1411,Chip-0[05]
Rx[5],1578,1553,1529,1518,1505,1502,1548,1537,1534,1531,1529,1531,1529,1530,1524,1521,1518,1515,1520,1521,1468,1431,Chip-0[06]
Rx[6],1570,1552,1534,1522,1505,1495,1539,1535,1529,1519,1511,1506,1501,1503,1501,1503,1508,1507,1510,1509,1463,1437,Chip-0[07]
Rx[7],1568,1539,1521,1513,1501,1489,1536,1531,1531,1529,1524,1521,1518,1518,1518,1523,1526,1528,1536,1539,1482,1450,Chip-0[08]
Rx[8],1552,1531,1517,1505,1484,1480,1531,1528,1527,1521,1522,1522,1522,1523,1521,1524,1528,1533,1539,1537,1487,1461,Chip-0[09]
Rx[9],1567,1541,1522,1508,1492,1484,1534,1530,1526,1520,1514,1514,1507,1510,1500,1501,1504,1512,1520,1530,1489,1463,Chip-0[10]
Rx[10],1573,1551,1527,1514,1498,1488,1535,1527,1528,1524,1519,1519,1512,1513,1513,1515,1513,1516,1530,1539,1498,1485,Chip-0[11]
Rx[11],1579,1557,1543,1534,1519,1515,1570,1571,1570,1564,1569,1568,1571,1570,1565,1574,1576,1574,1581,1589,1548,1521,Chip-0[12]
Rx[12],1590,1566,1545,1533,1517,1513,1561,1558,1558,1553,1551,1550,1550,1555,1558,1564,1575,1582,1594,1601,1549,1535,Chip-0[13]
Rx[13],1615,1605,1587,1581,1564,1554,1604,1595,1589,1582,1584,1583,1587,1596,1598,1605,1613,1617,1629,1638,1598,1580,Chip-0[14]
Rx[14],1599,1580,1559,1550,1534,1528,1579,1577,1578,1574,1574,1575,1576,1584,1592,1601,1611,1616,1622,1631,1588,1575,Chip-0[15]
Rx[15],1609,1581,1567,1554,1540,1532,1575,1571,1575,1569,1571,1574,1573,1576,1583,1591,1603,1615,1634,1639,1597,1582,Chip-0[16]
Rx[16],1602,1581,1566,1555,1540,1535,1590,1587,1585,1587,1589,1591,1596,1603,1610,1621,1637,1643,1649,1656,1617,1606,Chip-0[17]
Rx[17],1625,1605,1582,1572,1559,1548,1601,1598,1597,1592,1593,1595,1602,1613,1625,1639,1651,1665,1683,1696,1651,1642,Chip-0[18]
Rx[18],1641,1621,1600,1587,1570,1559,1609,1607,1607,1602,1603,1611,1616,1629,1637,1654,1669,1681,1704,1719,1674,1675,Chip-0[19]
Rx[19],1638,1620,1596,1583,1569,1565,1617,1606,1606,1604,1606,1614,1620,1634,1645,1662,1679,1694,1715,1733,1689,1687,Chip-0[20]
Rx[20],1663,1629,1599,1591,1579,1581,1636,1634,1636,1633,1634,1639,1645,1657,1661,1676,1698,1716,1739,1754,1715,1703,Chip-0[21]
Rx[21],1670,1642,1621,1604,1584,1577,1625,1617,1618,1617,1618,1620,1624,1638,1650,1671,1688,1705,1739,1756,1716,1706,Chip-0[22]
Rx[22],1686,1651,1625,1616,1601,1593,1640,1637,1637,1634,1637,1641,1648,1660,1669,1684,1702,1721,1751,1763,1725,1718,Chip-0[23]
